,id,title,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,OMDb_Year,OMDb_Runtime,OMDb_Plot,OMDb_imdbVotes,OMDb_Poster,IMDB_Score
0,1,Toy Story ,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,81,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1102860,https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_SX300.jpg,8.3
1,2,GoldenEye ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,130,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",275174,https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_SX300.jpg,7.2
2,3,Four Rooms ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,98,Four interlocking tales that take place in a fading hotel on New Year's Eve.,112683,https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_SX300.jpg,6.7
3,4,Get Shorty ,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,105,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",91605,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,6.9
4,5,Copycat ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1995,123,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,68112,https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_SX300.jpg,6.6
5,6,Shanghai Triad ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,108,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,6117,https://m.media-amazon.com/images/M/MV5BMjExNzU2NDctYTQ4My00MmFkLTljN2UtN2MzYWQ1NTFiNDEyXkEyXkFqcGc@._V1_SX300.jpg,7.1
6,7,Twelve Monkeys ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1996,88,"A documentary following Terry Gilliam through the creation of ""12 Monkeys"" (1995)",996,https://m.media-amazon.com/images/M/MV5BZTAxNzY1NTktNjA1Zi00MjJjLThkMTgtNTM0NTI1NWIzNDQ3XkEyXkFqcGdeQXVyODAyNDE3Mw@@._V1_SX300.jpg,7.6
7,8,Babe ,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,91,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",137298,https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@._V1_SX300.jpg,6.9
8,9,Dead Man Walking ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,122,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",103267,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,7.5
9,10,Richard III ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1995,104,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,15848,https://m.media-amazon.com/images/M/MV5BMWZjODNlYzAtNWIxZC00ZWRkLWFlMjctZGVlMDYxZTU1MGM1XkEyXkFqcGc@._V1_SX300.jpg,7.3
